name,rank,location
Florida_International_University,None,"Miami, FL"
Idaho_State_University,None,"Pocatello, ID"
Mississippi_State_University,None,"Mississippi State, MS"
Northern_Illinois_University,None,"DeKalb, IL"
None,None,
Portland_State_University,None,"Portland, OR"
Texas_Tech_University,None,"Lubbock, TX"
University_of_Arkansas_Little_Rock,None,"Little Rock, AR"
University_of_California_Merced,None,"Merced, CA"
University_of_Maine,None,"Orono, ME"
University_of_Rhode_Island,None,"Kingston, RI"
University_of_Texas_San_Antonio,None,"San Antonio, TX"
None,None,
University_of_Toledo,None,"Toledo, OH"
Worcester_Polytechnic_Institute,None,"Worcester, MA"
Air_Force_Institute_of_Technology,None,"Wright-Patterson AFB, OH"
Alabama_A&M_University,None,"Normal, AL"
East_Carolina_University,None,"Greenville, NC"
Florida_A&M_University,None,"Tallahassee, FL"
Florida_Atlantic_University,None,"Boca Raton, FL"
None,None,
Hampton_University,None,"Hampton, VA"
Howard_University,None,"Washington, DC"
Louisiana_Tech_University,None,"Ruston, LA"
Medical_College_of_Wisconsin,None,"Milwaukee, WI"
Missouri_University_of_Science_&_Technology,None,"Rolla, MO"
North_Dakota_State_University,None,"Fargo, ND"
Old_Dominion_University,None,"Norfolk, VA"
None,None,
Southern_Illinois_University_Carbondale,None,"Carbondale, IL"
Texas_Christian_University,None,"Fort Worth, TX"
The_Catholic_University_of_America,None,"Washington, DC"
University_of_Akron,None,"Akron, OH"
University_of_Alaska_Fairbanks,None,"Fairbanks, AK"
University_of_Dayton,None,"Dayton, OH"
University_of_Missouri_Kansas_City,None,"Kansas City, MO"
None,None,
University_of_North_Texas,None,"Denton, TX"
University_of_Puerto_Rico_Rio_Piedras,None,"San Juan, PR"
University_of_Southern_Mississippi,None,"Hattiesburg, MS"
Western_Michigan_University,None,"Kalamazoo, MI"
